U              I
9.00000E+0000  1.00000E-0002
1.00000E+0001  4.00000E-0002
9.00000E+0000  4.00000E-0002
1.90000E+0001  8.00000E-0002
2.10000E+0001  8.00000E-0002
4.90000E+0001  1.80000E-0001
4.80000E+0001  1.90000E-0001
5.20000E+0001  1.90000E-0001
2.30000E+0001  9.00000E-0002
2.70000E+0001  1.00000E-0002
2.80000E+0001  1.10000E-0001
4.90000E+0001  1.90000E-0001
6.60000E+0001  2.20000E-0001
7.70000E+0001  2.90000E-0001
8.20000E+0001  3.10000E-0001
8.70000E+0001  3.30000E-0001
9.50000E+0001  3.70000E-0001
1.12000E+0002  4.30000E-0001
1.20000E+0002  4.40000E-0001
1.20000E+0002  4.50000E-0001
1.20000E+0002  4.50000E-0001
1.22000E+0002  4.60000E-0001
1.26000E+0002  4.70000E-0001
1.42000E+0002  5.30000E-0001
1.51000E+0002  5.60000E-0001
1.74000E+0002  6.40000E-0001
1.82000E+0002  6.80000E-0001
2.03000E+0002  7.40000E-0001
2.15000E+0002  7.80000E-0001
2.23000E+0002  8.10000E-0001
2.37000E+0002  8.60000E-0001
2.54000E+0002  9.10000E-0001
2.59000E+0002  9.30000E-0001
2.67000E+0002  9.50000E-0001
2.83000E+0002  1.01000E+0000
3.01000E+0002  1.04000E+0000
3.13000E+0002  1.11000E+0000
3.33000E+0002  1.17000E+0000
3.48000E+0002  1.22000E+0000
3.56000E+0002  1.24000E+0000
3.66000E+0002  1.27000E+0000
3.82000E+0002  1.31000E+0000
3.91000E+0002  1.35000E+0000
4.08000E+0002  1.40000E+0000
4.30000E+0002  1.47000E+0000
4.52000E+0002  1.49000E+0000
4.53000E+0002  1.53000E+0000
4.65000E+0002  1.57000E+0000
4.74000E+0002  1.61000E+0000
4.86000E+0002  1.63000E+0000
5.06000E+0002  1.69000E+0000
5.20000E+0002  1.71000E+0000
5.37000E+0002  1.78000E+0000
5.47000E+0002  1.80000E+0000
5.63000E+0002  1.84000E+0000
5.67000E+0002  1.85000E+0000
5.99000E+0002  1.94000E+0000
6.11000E+0002  1.96000E+0000
