 U              I
 2.45300E+0003  2.32000E+0000
 2.48100E+0003  2.32000E+0000
 2.49200E+0003  2.33000E+0000
 2.51000E+0003  2.33000E+0000
 2.54000E+0003  2.33000E+0000
 2.55200E+0003  2.33000E+0000
 2.59600E+0003  2.34000E+0000
 2.64800E+0003  2.34000E+0000
 2.66400E+0003  2.35000E+0000
 2.68200E+0003  2.34000E+0000
 2.69700E+0003  2.34000E+0000
 2.73300E+0003  2.35000E+0000
 2.74500E+0003  2.35000E+0000
 2.76800E+0003  2.35000E+0000
 2.78700E+0003  2.35000E+0000
 2.81000E+0003  2.36000E+0000
 2.84000E+0003  2.36000E+0000
 2.85500E+0003  2.36000E+0000
 2.87100E+0003  2.36000E+0000
 2.89400E+0003  2.36000E+0000
 2.90900E+0003  2.36000E+0000
 2.90900E+0003  2.36000E+0000
 2.91800E+0003  2.37000E+0000
 2.94500E+0003  2.36000E+0000
 2.96200E+0003  2.36000E+0000
 2.97800E+0003  2.37000E+0000
 2.99600E+0003  2.37000E+0000
 3.01200E+0003  2.37000E+0000
 3.02600E+0003  2.37000E+0000
 3.04400E+0003  2.37000E+0000
 3.06300E+0003  2.37000E+0000
 3.08000E+0003  2.37000E+0000
 3.08700E+0003  2.37000E+0000
 3.11000E+0003  2.37000E+0000
 3.13400E+0003  2.38000E+0000
 3.14100E+0003  2.38000E+0000
 3.15300E+0003  2.38000E+0000
 3.17600E+0003  2.38000E+0000
 3.18800E+0003  2.39000E+0000
 3.21000E+0003  2.38000E+0000
 3.24100E+0003  2.38000E+0000
 3.25700E+0003  2.39000E+0000
 3.28100E+0003  2.38000E+0000
 3.29500E+0003  2.39000E+0000
 3.32200E+0003  2.38000E+0000
 3.34700E+0003  2.39000E+0000
 3.36600E+0003  2.39000E+0000
 3.39900E+0003  2.39000E+0000
 3.41200E+0003  2.40000E+0000
 3.43600E+0003  2.40000E+0000
 3.46600E+0003  2.39000E+0000
 3.48300E+0003  2.41000E+0000
 3.50100E+0003  2.40000E+0000
 3.52300E+0003  2.40000E+0000
 3.53900E+0003  2.40000E+0000
 3.56100E+0003  2.40000E+0000
 3.59200E+0003  2.40000E+0000
 3.61900E+0003  2.40000E+0000
 3.62400E+0003  2.40000E+0000
 3.65200E+0003  2.40000E+0000
 3.67100E+0003  2.40000E+0000
 3.69000E+0003  2.40000E+0000
 3.69800E+0003  2.41000E+0000
 3.69900E+0003  2.40000E+0000
 3.69900E+0003  2.40000E+0000
 3.72200E+0003  2.41000E+0000
 3.73000E+0003  2.41000E+0000
 3.74400E+0003  2.40000E+0000
 3.76100E+0003  2.41000E+0000
 3.77400E+0003  2.41000E+0000
 3.78400E+0003  2.41000E+0000
 3.80400E+0003  2.41000E+0000
 3.82400E+0003  2.41000E+0000
 3.82200E+0003  2.41000E+0000
 3.83700E+0003  2.42000E+0000
 3.85500E+0003  2.41000E+0000
 3.87000E+0003  2.42000E+0000
 3.87800E+0003  2.41000E+0000
 3.89200E+0003  2.41000E+0000
 3.89500E+0003  2.42000E+0000
 3.90300E+0003  2.42000E+0000
 3.92200E+0003  2.41000E+0000
 3.94000E+0003  2.42000E+0000
 3.95600E+0003  2.42000E+0000
 3.98700E+0003  2.41000E+0000
 4.01500E+0003  2.42000E+0000
 4.05600E+0003  2.42000E+0000
 4.08200E+0003  2.42000E+0000
 4.13200E+0003  2.43000E+0000
 4.15800E+0003  2.42000E+0000
 4.15900E+0003  2.43000E+0000
 4.19100E+0003  2.43000E+0000
 4.23000E+0003  2.43000E+0000
 4.27300E+0003  2.42000E+0000
 4.30300E+0003  2.43000E+0000
 4.32300E+0003  2.43000E+0000
 4.34600E+0003  2.43000E+0000
 4.35900E+0003  2.43000E+0000
 4.38200E+0003  2.43000E+0000
 4.41000E+0003  2.44000E+0000
 4.42800E+0003  2.43000E+0000
 4.46000E+0003  2.44000E+0000
 4.49600E+0003  2.44000E+0000
 4.56300E+0003  2.45000E+0000
 4.60300E+0003  2.44000E+0000
 4.63900E+0003  2.44000E+0000
 4.66000E+0003  2.44000E+0000
 4.67700E+0003  2.44000E+0000
 4.69900E+0003  2.45000E+0000
 4.72900E+0003  2.45000E+0000
 4.75100E+0003  2.45000E+0000
 4.77800E+0003  2.45000E+0000
 4.79300E+0003  2.45000E+0000
 4.80700E+0003  2.45000E+0000
 4.82700E+0003  2.45000E+0000
 4.84500E+0003  2.45000E+0000
 4.86900E+0003  2.45000E+0000
 4.90000E+0003  2.46000E+0000
 4.92600E+0003  2.45000E+0000
 4.95600E+0003  2.45000E+0000
 4.96700E+0003  2.46000E+0000
 5.00100E+0003  2.45000E+0000
 5.04900E+0003  2.46000E+0000
 5.06500E+0003  2.46000E+0000
 5.09200E+0003  2.46000E+0000
 5.13800E+0003  2.46000E+0000
 5.14900E+0003  2.45000E+0000
 5.17600E+0003  2.46000E+0000
 5.19200E+0003  2.46000E+0000
 5.22800E+0003  2.46000E+0000
 5.24900E+0003  2.46000E+0000
 5.27400E+0003  2.46000E+0000
 5.30000E+0003  2.46000E+0000
 5.32100E+0003  2.47000E+0000
 5.32800E+0003  2.46000E+0000
 5.37100E+0003  2.46000E+0000
 5.39000E+0003  2.47000E+0000
 5.42200E+0003  2.47000E+0000
 5.45400E+0003  2.47000E+0000
 5.50400E+0003  2.47000E+0000
 5.51100E+0003  2.47000E+0000
 5.55500E+0003  2.47000E+0000
 5.58800E+0003  2.47000E+0000
 5.59600E+0003  2.47000E+0000
 5.66100E+0003  2.47000E+0000
 5.72200E+0003  2.47000E+0000
 5.75700E+0003  2.48000E+0000
 5.79100E+0003  2.48000E+0000
 5.82700E+0003  2.48000E+0000
 5.85800E+0003  2.48000E+0000
 5.88500E+0003  2.48000E+0000
 5.91400E+0003  2.48000E+0000
 5.94800E+0003  2.47000E+0000
 5.96700E+0003  2.48000E+0000
 6.00100E+0003  2.48000E+0000
 6.04300E+0003  2.48000E+0000
 6.06000E+0003  2.49000E+0000
 6.08900E+0003  2.48000E+0000
 6.11100E+0003  2.48000E+0000
 6.12500E+0003  2.47000E+0000
 6.14400E+0003  2.48000E+0000
 6.17000E+0003  2.48000E+0000
 6.19900E+0003  2.49000E+0000
 6.23200E+0003  2.48000E+0000
 6.28100E+0003  2.48000E+0000
 6.24400E+0003  2.48000E+0000
 6.32800E+0003  2.49000E+0000
 6.36900E+0003  2.49000E+0000
 6.40300E+0003  2.49000E+0000
 6.41900E+0003  2.49000E+0000
 6.46000E+0003  2.49000E+0000
 6.50500E+0003  2.49000E+0000
 6.52300E+0003  2.49000E+0000
 6.56400E+0003  2.49000E+0000
 6.59400E+0003  2.49000E+0000
 6.64500E+0003  2.49000E+0000
 6.65100E+0003  2.49000E+0000
 6.68800E+0003  2.49000E+0000
 6.74000E+0003  2.49000E+0000
 6.76700E+0003  2.50000E+0000
 6.82100E+0003  2.50000E+0000
 6.87200E+0003  2.49000E+0000
 6.88700E+0003  2.49000E+0000
 6.94900E+0003  2.50000E+0000
 7.00200E+0003  2.50000E+0000
 7.02200E+0003  2.50000E+0000
 7.06300E+0003  2.50000E+0000
 7.10600E+0003  2.50000E+0000
 7.14000E+0003  2.50000E+0000
 7.19700E+0003  2.50000E+0000
 7.26100E+0003  2.50000E+0000
 7.27900E+0003  2.50000E+0000
 7.34600E+0003  2.50000E+0000
 7.37600E+0003  2.50000E+0000
 7.44700E+0003  2.51000E+0000
 7.47900E+0003  2.50000E+0000
 7.52300E+0003  2.50000E+0000
 7.57100E+0003  2.50000E+0000
 7.63100E+0003  2.51000E+0000
 7.64000E+0003  2.51000E+0000
 7.68100E+0003  2.51000E+0000
 7.72200E+0003  2.51000E+0000
 7.75100E+0003  2.51000E+0000
 7.80200E+0003  2.51000E+0000
 7.85400E+0003  2.51000E+0000
 7.88400E+0003  2.50000E+0000
 7.91100E+0003  2.51000E+0000
 7.94100E+0003  2.51000E+0000
 7.94400E+0003  2.52000E+0000
 8.01000E+0003  2.51000E+0000
 8.06100E+0003  2.51000E+0000
 8.12100E+0003  2.51000E+0000
 8.16200E+0003  2.51000E+0000
 8.19700E+0003  2.51000E+0000
 8.22200E+0003  2.51000E+0000
 8.25500E+0003  2.52000E+0000
 8.34600E+0003  2.52000E+0000
 8.42400E+0003  2.52000E+0000
 8.45500E+0003  2.52000E+0000
 8.49000E+0003  2.52000E+0000
 8.51200E+0003  2.52000E+0000
 8.54300E+0003  2.52000E+0000
 8.57300E+0003  2.52000E+0000
 8.62100E+0003  2.52000E+0000
 8.67300E+0003  2.52000E+0000
 8.70100E+0003  2.52000E+0000
 8.74700E+0003  2.52000E+0000
 8.82800E+0003  2.52000E+0000
 8.86100E+0003  2.52000E+0000
 8.91700E+0003  2.52000E+0000
 8.96000E+0003  2.53000E+0000
 8.99600E+0003  2.53000E+0000
 9.04400E+0003  2.52000E+0000
 9.07600E+0003  2.52000E+0000
 9.10000E+0003  2.52000E+0000
 9.13400E+0003  2.53000E+0000
 9.18800E+0003  2.53000E+0000
 9.25200E+0003  2.53000E+0000
 9.27700E+0003  2.53000E+0000
 9.33500E+0003  2.53000E+0000
 9.37700E+0003  2.53000E+0000
 9.41500E+0003  2.53000E+0000
 9.45300E+0003  2.53000E+0000
 9.51700E+0003  2.53000E+0000
 9.56000E+0003  2.54000E+0000
 9.66700E+0003  2.53000E+0000
 9.70900E+0003  2.53000E+0000
 9.74700E+0003  2.54000E+0000
 9.77500E+0003  2.53000E+0000
 9.82200E+0003  2.53000E+0000
 9.83600E+0003  2.53000E+0000
 9.90600E+0003  2.53000E+0000
 9.96800E+0003  2.53000E+0000
 9.98500E+0003  2.53000E+0000
 1.00090E+0004  2.54000E+0000
 1.00420E+0004  2.53000E+0000
 1.00680E+0004  2.53000E+0000
