U;I
-29;-0.690100014209747
-29;-0.690100014209747
-26;-0.690100014209747
-24;-0.690100014209747
-22;-0.690100014209747
-18;-0.690100014209747
-16;-0.690100014209747
-16;-0.689999997615814
-16;-0.689999997615814
-14;-0.689999997615814
-14;-0.689999997615814
-13;-0.689999997615814
-10;-0.689999997615814
-9;-0.689999997615814
-7;-0.689999997615814
-5;-0.689999997615814
0;-0.689899981021881
2;-0.689899981021881
1;-0.689899981021881
-2;-0.689899981021881
-3;-0.689899981021881
5;-0.689899981021881
11;-0.689800024032593
15;-0.689800024032593
22;-0.68970000743866
28;-0.689599990844727
34;-0.689400017261505
37;-0.689300000667572
42;-0.689100027084351
48;-0.689000010490417
53;-0.688799977302551
58;-0.688700020313263
62;-0.688499987125397
79;-0.687699973583221
80;-0.6875
85;-0.687300026416779
90;-0.687099993228912
94;-0.686800003051758
99;-0.68639999628067
105;-0.686100006103516
109;-0.685699999332428
112;-0.685400009155273
115;-0.685100018978119
117;-0.684800028800964
129;-0.68419998884201
139;-0.683499991893768
142;-0.682600021362305
144;-0.682099997997284
148;-0.681699991226196
155;-0.68120002746582
165;-0.678699970245361
171;-0.678399980068207
177;-0.677799999713898
187;-0.675300002098083
192;-0.674799978733063
196;-0.674099981784821
213;-0.668799996376038
217;-0.668600022792816
221;-0.666400015354156
225;-0.666100025177002
234;-0.663299977779388
245;-0.657100021839142
253;-0.654600024223328
265;-0.649999976158142
273;-0.645799994468689
280;-0.642899990081787
289;-0.635800004005432
289;-0.635800004005432
292;-0.633499979972839
297;-0.63129997253418
300;-0.629000008106232
303;-0.626500010490417
309;-0.62169998884201
327;-0.602500021457672
328;-0.601999998092651
334;-0.5939000248909
336;-0.59170001745224
338;-0.58950001001358
340;-0.581200003623962
346;-0.575900018215179
350;-0.571699976921082
352;-0.569400012493134
353;-0.567300021648407
355;-0.563300013542175
357;-0.560800015926361
359;-0.556500017642975
362;-0.553799986839294
366;-0.546299993991852
370;-0.537299990653992
372;-0.532999992370605
381;-0.514299988746643
383;-0.508400022983551
386;-0.503400027751923
386;-0.502799987792969
397;-0.476500004529953
398;-0.47350001335144
399;-0.471399992704391
401;-0.466100007295609
403;0
403;-0.459030002355576
410;-0.436219990253448
414;-0.426899999380112
415;-0.424270004034042
416;-0.422960013151169
418;-0.415749996900558
420;-0.408010005950928
421;-0.405739992856979
423;-0.400319993495941
423;-0.399919986724854
430;-0.375019997358322
434;-0.361559987068176
441;-0.337269991636276
444;-0.325109988451004
446;-0.317279994487762
451;-0.297619998455048
456;-0.279139995574951
457;-0.274760007858276
460;-0.259110003709793
463;-0.247840002179146
467;-0.231749996542931
471;-0.209969997406006
476;-0.191949993371964
479;-0.17629000544548
481;-0.168770000338554
487;-0.138300001621246
489;-0.126259997487068
499;-0.0778499990701675
500;-0.0729300007224083
501;-0.069470003247261
503;-0.0562399998307228
514;0.00101999996695668
517;0.0159699991345406
518;0.021229999139905
519;0.0260000005364418
519;0.0260099992156029
520;0.030689999461174
520;0.0310399997979403
521;0.0358499996364117
522;0.0410600006580353
523;0.0460699982941151
523;0.046059999614954
524;0.0560199990868568
524;0.0560600012540817
524;0.0565299987792969
526;0.0645499974489212
528;0.0780500024557114
529;0.0813300013542175
533;0.103299997746944
534;0.106729999184608
