U              I
1.93800E+0003  1.04000E+0000
1.96100E+0003  1.04000E+0000
1.98400E+0003  1.04000E+0000
1.99700E+0003  1.04000E+0000
2.00900E+0003  1.04000E+0000
2.03000E+0003  1.04000E+0000
2.04400E+0003  1.05000E+0000
2.04900E+0003  1.05000E+0000
2.05900E+0003  1.05000E+0000
2.07600E+0003  1.04000E+0000
2.08100E+0003  1.05000E+0000
2.09700E+0003  1.05000E+0000
2.13600E+0003  1.05000E+0000
2.18000E+0003  1.05000E+0000
2.20400E+0003  1.06000E+0000
2.25300E+0003  1.06000E+0000
2.30000E+0003  1.06000E+0000
2.32200E+0003  1.05000E+0000
2.35700E+0003  1.06000E+0000
2.40400E+0003  1.06000E+0000
2.43000E+0003  1.07000E+0000
2.46400E+0003  1.07000E+0000
2.49900E+0003  1.07000E+0000
2.52400E+0003  1.07000E+0000
2.55400E+0003  1.07000E+0000
2.59000E+0003  1.07000E+0000
2.61200E+0003  1.07000E+0000
2.63900E+0003  1.07000E+0000
2.68200E+0003  1.07000E+0000
2.72200E+0003  1.07000E+0000
2.74300E+0003  1.08000E+0000
2.78700E+0003  1.08000E+0000
2.86000E+0003  1.08000E+0000
2.89600E+0003  1.08000E+0000
2.94500E+0003  1.08000E+0000
2.97800E+0003  1.08000E+0000
3.00000E+0003  1.09000E+0000
3.04900E+0003  1.09000E+0000
3.08100E+0003  1.09000E+0000
3.10500E+0003  1.09000E+0000
3.12200E+0003  1.09000E+0000
3.16100E+0003  1.09000E+0000
3.20800E+0003  1.09000E+0000
3.23800E+0003  1.10000E+0000
3.29900E+0003  1.09000E+0000
3.37600E+0003  1.10000E+0000
3.40400E+0003  1.10000E+0000
3.45000E+0003  1.10000E+0000
3.48500E+0003  1.10000E+0000
3.52200E+0003  1.10000E+0000
3.54900E+0003  1.10000E+0000
3.59100E+0003  1.10000E+0000
3.62900E+0003  1.10000E+0000
3.65600E+0003  1.11000E+0000
3.70900E+0003  1.11000E+0000
3.73900E+0003  1.10000E+0000
3.74500E+0003  1.11000E+0000
3.77600E+0003  1.11000E+0000
3.81100E+0003  1.11000E+0000
3.82900E+0003  1.11000E+0000
3.86300E+0003  1.11000E+0000
3.89300E+0003  1.11000E+0000
3.91700E+0003  1.11000E+0000
3.96600E+0003  1.11000E+0000
4.00800E+0003  1.11000E+0000
4.07300E+0003  1.11000E+0000
4.10200E+0003  1.11000E+0000
4.14600E+0003  1.12000E+0000
4.20600E+0003  1.12000E+0000
4.22100E+0003  1.12000E+0000
4.28500E+0003  1.12000E+0000
4.36800E+0003  1.12000E+0000
4.40700E+0003  1.12000E+0000
4.46500E+0003  1.12000E+0000
4.51300E+0003  1.12000E+0000
4.52500E+0003  1.12000E+0000
4.56100E+0003  1.12000E+0000
4.62200E+0003  1.12000E+0000
4.68700E+0003  1.13000E+0000
4.72600E+0003  1.13000E+0000
4.78500E+0003  1.13000E+0000
4.85000E+0003  1.13000E+0000
4.90000E+0003  1.13000E+0000
4.99300E+0003  1.13000E+0000
5.07100E+0003  1.13000E+0000
5.09300E+0003  1.13000E+0000
5.13400E+0003  1.13000E+0000
5.16900E+0003  1.13000E+0000
5.18900E+0003  1.14000E+0000
5.22600E+0003  1.14000E+0000
5.27400E+0003  1.14000E+0000
5.34300E+0003  1.14000E+0000
5.38600E+0003  1.14000E+0000
5.46700E+0003  1.14000E+0000
5.52500E+0003  1.14000E+0000
5.55500E+0003  1.14000E+0000
5.60900E+0003  1.14000E+0000
5.66900E+0003  1.14000E+0000
5.69000E+0003  1.14000E+0000
5.75300E+0003  1.14000E+0000
5.80700E+0003  1.14000E+0000
5.82400E+0003  1.14000E+0000
5.86700E+0003  1.15000E+0000
5.93400E+0003  1.14000E+0000
6.01200E+0003  1.14000E+0000
6.05400E+0003  1.15000E+0000
6.12800E+0003  1.15000E+0000
6.20800E+0003  1.15000E+0000
6.23700E+0003  1.15000E+0000
6.30400E+0003  1.15000E+0000
6.36500E+0003  1.15000E+0000
6.39800E+0003  1.15000E+0000
6.46600E+0003  1.15000E+0000
6.53600E+0003  1.15000E+0000
6.59900E+0003  1.15000E+0000
6.61700E+0003  1.16000E+0000
6.67900E+0003  1.15000E+0000
6.73500E+0003  1.15000E+0000
6.77100E+0003  1.16000E+0000
6.83500E+0003  1.15000E+0000
6.90700E+0003  1.16000E+0000
6.95100E+0003  1.15000E+0000
7.04600E+0003  1.16000E+0000
7.08600E+0003  1.16000E+0000
7.14700E+0003  1.16000E+0000
7.19100E+0003  1.16000E+0000
7.25100E+0003  1.16000E+0000
7.32900E+0003  1.16000E+0000
7.36700E+0003  1.16000E+0000
7.44300E+0003  1.16000E+0000
7.48600E+0003  1.16000E+0000
7.51800E+0003  1.16000E+0000
7.56800E+0003  1.16000E+0000
7.62900E+0003  1.16000E+0000
7.65200E+0003  1.16000E+0000
7.70900E+0003  1.16000E+0000
7.75800E+0003  1.16000E+0000
7.83400E+0003  1.16000E+0000
7.85000E+0003  1.17000E+0000
7.92100E+0003  1.16000E+0000
7.99800E+0003  1.17000E+0000
8.02000E+0003  1.17000E+0000
8.06800E+0003  1.17000E+0000
8.11300E+0003  1.17000E+0000
8.14200E+0003  1.17000E+0000
