U               I
-3.31600E+0003  0.00000E+0000
-3.31500E+0003  0.00000E+0000
-3.30600E+0003  0.00000E+0000
-3.29900E+0003  0.00000E+0000
-3.28700E+0003  0.00000E+0000
-3.28700E+0003  0.00000E+0000
-3.27700E+0003  0.00000E+0000
-3.27300E+0003  0.00000E+0000
-3.27600E+0003  0.00000E+0000
-3.27600E+0003  0.00000E+0000
-3.26500E+0003  0.00000E+0000
-3.26500E+0003  1.00000E-0002
-3.25900E+0003  0.00000E+0000
-3.21200E+0003  0.00000E+0000
-3.22300E+0003  0.00000E+0000
-3.22200E+0003  0.00000E+0000
-3.24300E+0003  0.00000E+0000
-3.24900E+0003  0.00000E+0000
-3.23700E+0003  0.00000E+0000
-3.23400E+0003  0.00000E+0000
-3.23200E+0003  1.00000E-0002
-3.22500E+0003  0.00000E+0000
-3.22100E+0003  0.00000E+0000
-3.21800E+0003  0.00000E+0000
-3.21600E+0003  0.00000E+0000
-3.21500E+0003  0.00000E+0000
-3.21500E+0003  0.00000E+0000
-3.21000E+0003  0.00000E+0000
-3.20700E+0003  1.00000E-0002
-3.20500E+0003  0.00000E+0000
-3.19700E+0003  0.00000E+0000
-3.19200E+0003  0.00000E+0000
-3.18800E+0003  0.00000E+0000
-3.18000E+0003  0.00000E+0000
-3.17200E+0003  0.00000E+0000
-3.16500E+0003  0.00000E+0000
-3.15400E+0003  0.00000E+0000
-3.14000E+0003  1.00000E-0002
-3.13700E+0003  0.00000E+0000
-3.12700E+0003  0.00000E+0000
-3.11000E+0003  0.00000E+0000
-3.10100E+0003  0.00000E+0000
-3.09700E+0003  0.00000E+0000
-3.09300E+0003  0.00000E+0000
-3.08800E+0003  0.00000E+0000
-3.08600E+0003  1.00000E-0002
-3.08200E+0003  0.00000E+0000
-3.07900E+0003  1.00000E-0002
-3.07900E+0003  0.00000E+0000
-3.07700E+0003  0.00000E+0000
-3.07000E+0003  0.00000E+0000
-3.07100E+0003  0.00000E+0000
-3.06600E+0003  0.00000E+0000
-3.06600E+0003  0.00000E+0000
-3.06400E+0003  0.00000E+0000
-3.06000E+0003  0.00000E+0000
-3.05100E+0003  0.00000E+0000
-3.04500E+0003  0.00000E+0000
-3.04200E+0003  1.00000E-0002
-3.03100E+0003  0.00000E+0000
-3.02700E+0003  0.00000E+0000
-3.02400E+0003  0.00000E+0000
-3.02400E+0003  0.00000E+0000
-3.02100E+0003  0.00000E+0000
-3.01400E+0003  1.00000E-0002
-3.01200E+0003  0.00000E+0000
-3.00600E+0003  0.00000E+0000
-3.00200E+0003  0.00000E+0000
-2.99700E+0003  0.00000E+0000
-2.99300E+0003  0.00000E+0000
-2.98800E+0003  0.00000E+0000
-2.98000E+0003  1.00000E-0002
-2.96900E+0003  1.00000E-0002
-2.95500E+0003  1.00000E-0002
-2.95100E+0003  0.00000E+0000
-2.94100E+0003  1.00000E-0002
-2.93000E+0003  1.00000E-0002
-2.91800E+0003  1.00000E-0002
-2.90000E+0003  1.00000E-0002
-2.88900E+0003  1.00000E-0002
-2.88000E+0003  2.00000E-0002
-2.87500E+0003  2.00000E-0002
-2.86700E+0003  2.00000E-0002
-2.86300E+0003  1.00000E-0002
-2.85900E+0003  2.00000E-0002
-2.85600E+0003  2.00000E-0002
-2.84600E+0003  2.00000E-0002
-2.84500E+0003  3.00000E-0002
-2.84000E+0003  2.00000E-0002
-2.82900E+0003  3.00000E-0002
-2.82600E+0003  3.00000E-0002
-2.81900E+0003  3.00000E-0002
-2.81200E+0003  3.00000E-0002
-2.80800E+0003  3.00000E-0002
-2.80100E+0003  4.00000E-0002
-2.79800E+0003  4.00000E-0002
-2.79400E+0003  3.00000E-0002
-2.79500E+0003  3.00000E-0002
-2.79000E+0003  4.00000E-0002
-2.78100E+0003  4.00000E-0002
-2.77300E+0003  5.00000E-0002
-2.75000E+0003  6.00000E-0002
-2.73400E+0003  6.00000E-0002
